,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
246,"POLYGON ((1435872 7461209, 1436372 7461209, 1436372 7460709, 1435938.3624043278 7460709, 1435872 7460930.111993547, 1435872 7461209))",0,0,0,0,10646.338401436678,13647.898920644524,13810.532410214888
306,"POLYGON ((1436372 7460709, 1436372 7461209, 1436872 7461209, 1436872 7460709, 1436372 7460709))",0,0,0,0,10565.110717436846,13355.716016290753,13536.271977071667
186,"POLYGON ((1435872 7461209, 1435872 7460930.111993547, 1435788.2972647953 7461209, 1435872 7461209))",0,0,0,0,10558.504875259157,13706.222802260181,13854.783853503122
247,"POLYGON ((1435872 7461209, 1435872 7461709, 1436372 7461709, 1436372 7461209, 1435872 7461209))",0,0,0,0,10163.34917301409,13264.802767829013,13413.773014777173
307,"POLYGON ((1436372 7461209, 1436372 7461709, 1436872 7461709, 1436872 7461209, 1436372 7461209))",0,0,0,0,10071.263956141602,12955.103418508885,13122.46181853531
187,"POLYGON ((1435872 7461709, 1435872 7461209, 1435788.2972647953 7461209, 1435638.2321252627 7461709, 1435872 7461709))",0,0,0,0,10200.075526565703,13448.829637901905,13584.738737527545
188,"POLYGON ((1435872 7462209, 1435872 7461709, 1435638.2321252627 7461709, 1435488.16698573 7462209, 1435872 7462209))",0,0,0,0,9752.365114648132,13134.125077975097,13253.326508780568
248,"POLYGON ((1435872 7461709, 1435872 7462209, 1436372 7462209, 1436372 7461709, 1435872 7461709))",0,0,0,0,9674.836412838426,12880.782070427998,13015.285307423177
308,"POLYGON ((1436372 7461709, 1436372 7462209, 1436872 7462209, 1436872 7461709, 1436372 7461709))",0,0,0,0,9578.055693973338,12561.618480940891,12714.847593289445
189,"POLYGON ((1435372 7462709, 1435872 7462709, 1435872 7462209, 1435488.16698573 7462209, 1435382.9724088917 7462559.496381658, 1435372 7462596.044931507, 1435372 7462709))",0,0,0,0,9297.970298818032,12821.95302473163,12923.193432195887
249,"POLYGON ((1435872 7462209, 1435872 7462709, 1436372 7462709, 1436372 7462209, 1435872 7462209))",0,0,0,0,9187.559676963323,12504.963055615743,12624.024587083431
309,"POLYGON ((1436372 7462209, 1436372 7462709, 1436872 7462709, 1436872 7462209, 1436372 7462209))",0,0,0,0,9085.589913672815,12175.95224765484,12314.044602089103
129,"POLYGON ((1435372 7462709, 1435372 7462596.044931507, 1435338.0892373833 7462709, 1435372 7462709))",0,0,0,0,9190.014499917072,12876.250054446817,12960.991533351482
486,"POLYGON ((1437872 7460709, 1437872 7461209, 1438372 7461209, 1438372 7460709, 1437872 7460709))",0,0,0,0,10301.965718252608,12530.534172666958,12768.702052210085
487,"POLYGON ((1437872 7461209, 1437872 7461709, 1438372 7461709, 1438372 7461209, 1437872 7461209))",0,0,0,0,9837.067530636312,12102.637767397222,12329.156388000574
367,"POLYGON ((1436872 7461209, 1436872 7461709, 1437372 7461709, 1437372 7461209, 1436872 7461209))",0,0,0,0,10003.351885040722,12657.583367259207,12844.014242668443
427,"POLYGON ((1437372 7461209, 1437372 7461709, 1437872 7461709, 1437872 7461209, 1437372 7461209))",0,0,0,0,9960.10743906001,12373.12122360293,12579.284540577917
488,"POLYGON ((1437872 7461709, 1437872 7462209, 1438372 7462209, 1438372 7461709, 1437872 7461709))",0,0,0,0,9375.782503052553,11680.470675674196,11894.387011588142
